"paper_id","title","year","evidence_level","input","output_unit","decision_rule","answer_key","evaluation","reliability","human_grounding","leakage","scope","falsifiability","closest_overlap_with_lit2test","key_difference_from_lit2test"
"si2024_can_llms_generate_novel_research_ideas","Can LLMs Generate Novel Research Ideas? A Large-Scale Human Study with 100+ NLP Researchers","2024","E4","One of seven prompting-focused NLP topics; the AI agent additionally retrieves/ranks relevant paper titles and abstracts, while humans and models receive the same topic description, template, and demonstration.","Full project proposal: title, problem statement, motivation, proposed method, step-by-step experiment plan, test-case examples, and fallback plan.","minimal_test=no; decisive_metric=partial; support=partial; falsifier=generic_testability_only; controls=partial","No future-paper gold for main ideation comparison; human expert review scores are the reference signal.","Blind expert review of individual anonymized/style-normalized proposals. Each dimension and overall quality receive a 1–10 score plus rationale. Separate agent-internal pairwise Swiss tournament ranks generated ideas.","order_reversal=no; position_bias=no; calibration=Clear 1–10 anchors; human split-half consistency; LLM–human agreement benchmark (best pairwise LLM 53.3%).","sample=49 ideas per condition; 298 unique reviews; 2–4 reviewers per idea; reviewer-level comparison reports N=70 for AI-vs-human novelty; 100+ researchers overall.; agreement=yes: split-half top/bottom-quartile consistency 56.1% (20 random splits); compared with ICLR 71.9%.","Novelty rubric asks reviewers to treat work online before July 2024 as prior art; ideas are style-normalized and blinded.","Expert-perceived novelty, excitement, feasibility, expected effectiveness, and overall proposal quality; head-to-head human-vs-LLM ideation study.","required=generic_testability_only; notes=Fallback-plan language is post-failure contingency, not an explicit falsifying result or decision rule. No exact A/B reverse-order audit was found for the internal Swiss ranker.","Literature-grounded research proposals with executable experiment plans, named datasets/models/metrics, expert feasibility ratings, and no future-paper answer key.","The proposal asks for a fallback plan and positive test examples, but not a precommitted observable result that would reject the hypothesis; main measurement is scalar human review, not order-audited pairwise judgment of a minimal falsifiable test."
"qiu2025_ai_idea_bench","AI Idea Bench 2025: AI Research Idea Generation Benchmark","2025","E4","A target paper’s anonymized topic plus contents of papers that inspired/motivated it.","Research-idea motivation and multi-step experimental plan.","minimal_test=no; decisive_metric=no; support=no; falsifier=no; controls=no","Target-paper motivation and experiment plan are the correct MCQ answer and similarity reference.","Six evaluations: target-paper MCQ; idea-to-idea and idea-to-topic 1–5 matching; DeepSeek-V3 pairwise competition on six aspects; literature-distance novelty; citation-derived feasibility and per-step feasibility.","order_reversal=no; position_bias=Prompt says “Avoid any position biases,” but no swap/reverse experiment or statistic is reported.; calibration=none reported","sample=none; agreement=no","Target papers after 2023-10-03, aligned with GPT-4o cutoff; preprint dates filtered.","Recovery/alignment to the hidden target paper, relative idea quality, novelty against historical/contemporary literature, and feasibility via related-method citation influence.","required=no; notes=No falsifier-family keyword appeared in the main/appendix prompts. Feasibility is a citation-influence proxy rather than whether a decisive experiment can reject the hypothesis.","Inspired-paper context, full motivation+experiment-plan output, pairwise judging, explicit attention to leakage.","Uses target-paper content as ground truth and later-paper/reference signals; experiment plan has no required decisive metric or bidirectional supporting/falsifying outcomes; pairwise order is only instructed, not audited."
"vasu2025harpa","HARPA: A Testability-Driven, Literature-Grounded Framework for Research Ideation","2025","E3","A user-selected source paper; a citation-linked reasoning chain and literature snippets; an initial/seed hypothesis; target ASD-agent capability constraints.","A full hypothesis-driven research proposal: research gap/question, concrete hypothesis, long description, variables, design/implementation, metrics, baselines, pilot, and resources.","minimal_test=partial; decisive_metric=yes; support=partial; falsifier=generic_testability_only; controls=yes","CodeScientist execution logs/outcome categories for feasibility scorer; no unique future-paper answer key for generated proposal quality.","Human experts give 10-point Likert ratings on 11 dimensions; CodeScientist executes proposals; execution traces are labeled success/failure/uncertain; a learned pairwise scorer predicts execution feasibility.","order_reversal=no; position_bias=no; calibration=Scorer is trained against execution-derived success/failure preferences; held-out accuracy and rubric-wise oracle consistency are reported.","sample=12 experts; 40 proposals per system overall, each source-paper expert rates the four proposals for that source; agreement=No cross-rater agreement: proposals were topic/expert-specific and not cross-reviewed.","Human source papers had >=20 citations and were published before 2025; no reported contamination audit for proposal content.","Literature-grounded, testable, feasible hypothesis/proposal generation for downstream automated scientific discovery agents.","required=generic_testability_only; notes=Focused scan found no falsif/disconfirm/refut/failure-condition/decision-rule/supporting-result phrase in full paper. `reject` concerns post-execution meta-analysis or filtering, not a required pre-execution falsifier. Under the plan strict rule, required metrics, controls, expected outcomes, and success interpretation count only as generic testability; post-hoc support/reject states do not qualify as `partial`. Human evaluation randomizes proposal display order but does not run A/B reversal. Verify any post-v1 artifact/revision before final submission.","Literature-grounded gap/hypothesis, required experiment design and metrics, controls/baselines, pilot-scale execution, and support/reject outcome representation.","HARPA requires metrics and expected-success interpretation but does not precommit a separate observable falsifying-result field. Rejection is assigned post hoc from executed results; its primary target is executable proposal generation and success prediction, not prospective judging of a bidirectional decision rule."
"guo2025_ideabench","IdeaBench: Benchmarking Large Language Models for Research Idea Generation","2025","E3","Abstracts of references cited by a 2024 biomedical target paper; low-resource mode uses five filtered references and high-resource mode uses all references.","One brief, concise hypothesis/research-idea paragraph per query (three generated ideas in experiments).","minimal_test=no; decisive_metric=no; support=no; falsifier=no; controls=no","The target paper’s abstract is summarized into the reference idea; its cited references are the generation context.","GPT-4o listwise ranks three generated ideas together with an LLM-extracted target-paper idea under a user-defined quality indicator; target rank is converted to Insight Score. BERTScore and GPT-4o idea-overlap score provide similarity diagnostics.","order_reversal=no; position_bias=no; the published prompt places the target-paper idea first (Hypothesis 1).; calibration=none","sample=No systematic human calibration; humans highlight qualitative examples only.; agreement=no","Target papers published in 2024; tested model cutoffs reported before 2024.","Generation aligned with the target-paper trajectory plus novelty/feasibility relative to the hidden target-paper idea.","required=no; notes=Negative claims are E3 from main+appendix keyword/prompt scan. Artifact was unavailable, so implementation-level randomization cannot be ruled out beyond the published prompt.","Real-paper local neighborhood and generation before seeing the target paper.","Uses one target paper as a relative answer key and produces a generic hypothesis paragraph; no minimal test, decisive metric, supporting/falsifying result, human calibration, or order control."
"wen2025_predicting_empirical_ai_outcomes","Predicting Empirical AI Research Outcomes with Language Models","2025","E3","Research goal defined by benchmarks/quantitative metrics plus two standardized detailed idea descriptions; optional cutoff-limited retrieved papers.","Binary prediction of which idea performs better; optional rationale.","minimal_test=no; decisive_metric=yes (provided benchmark outcomes); support=no; falsifier=no; controls=no","Executed benchmark outcomes.","6,000 historical training pairs and 1,585 human-verified post-cutoff test pairs; two predictions with swapped idea order, inconsistency counted wrong; separate expert baseline on 45 NLP pairs.","order_reversal=yes; position_bias=yes: inconsistent swaps invalid/incorrect.; calibration=Human expert baseline, robustness stress tests, exact empirical gold.","sample=16 student verifiers for 1,585 examples; 25 topic experts on 45 pairs, 222 valid annotations.; agreement=yes: expert-to-majority agreement 75.1%.","GPT-4.1 cutoff June 1 2024; every test example has at least one later idea; retrieval restricted before cutoff.","Forecasting empirical AI research outcomes before execution.","required=no; notes=Objective winner is an external label derived after execution, not the proposal’s own precommitted decision rule.","Pairwise idea judgment, exact A/B reversal, human calibration, and objective experiment-related signals.","Predicts which already-realized method wins on supplied benchmarks; no generator-produced minimal test or supporting/falsifying decision rule."
"gottweis2026coscientist","Accelerating scientific discovery with Co-Scientist","2026","E3","A scientist-defined natural-language research goal, optional long documents/private evidence, desired attributes/constraints, and ongoing scientist feedback.","Iteratively generated and ranked hypotheses/research proposals, sometimes experimental protocols; final top hypotheses/reviews are synthesized into a research overview.","minimal_test=no; decisive_metric=no; support=partial; falsifier=partial; controls=no","No single future-paper answer key; some component checks use GPQA/paper-QA correctness, while biomedical case studies use expert judgment and experimental outcomes.","Internal Reflection reviews and Elo pairwise tournaments; automated evaluation over 203 goals and 15 expert-curated goals; blinded small expert comparison on 11 goals; selected real hypotheses undergo expert curation and wet-lab validation; clinical Specific Aims study uses 78 proposals and nine oncologists.","order_reversal=yes; position_bias=yes: Supplementary Note 3 tests 2,000 matches with A/B and B/A presentations; Supplementary Figs. 4-5 report improved positional robustness from scientific debate prompting; calibration=GPQA/paper-QA ablations relate Elo/review scores to correctness; A/B reversal probes position bias; external LLM panel and blinded experts provide orthogonal checks.","sample=Main comparison: curator experts on 11 research goals, typically the goal's expert; clinical evaluation: nine hematologist/oncologists in two groups rating 78 unique hypotheses; wet-lab selections were expert-screened.; agreement=No inter-rater agreement for the 11-goal main comparison. Clinical two-group ratings report Spearman rho=0.745 (p<0.001), not item-level annotator reliability.","Reflection uses web search and can use private/unpublished evidence; novelty ablations test search/date cutoffs. No benchmark-wide fixed temporal split for open hypothesis tasks.","Scientist-in-the-loop generation of novel, plausible, testable, safe scientific hypotheses and research plans; this is a research system, not a fixed public benchmark task.","required=partial; notes=Strict classification: `partial`, not `yes`. The disproof field is required and judgeable, so `generic_testability_only` would understate overlap. It evaluates whether existing observations contradict the hypothesis; it does not require the hypothesis author to precommit what a future decisive experiment would observe if the proposal were false. Weakness/limitation prompts and observed experimental failure discussion are not counted as falsifiers. The broad wording `first to operationalize falsifiability` is unsafe after this check.","Explicit testability criterion; generation prompt requests anticipated outcomes; mandatory Reflection prompt performs structured disproof analysis and can label a hypothesis `disproved`; pairwise ranking is tested under A/B reversal.","Co-Scientist's submitted/generated proposal does not have to precommit a future observable falsifying condition or a bidirectional decision rule. Its required `disproof analysis` is an internal reviewer step over already available article observations; experimental protocols and metrics depend on the scientist's goal. The work is a generative research system with heterogeneous downstream validations, not a benchmark whose answer schema judges a falsifier field."
"ruan2026_liveideabench","Evaluating LLMs' Divergent Thinking Capabilities for Scientific Idea Generation with Minimal Context","2026","E4","A single scientific keyword drawn from 1,180 keywords across 22 domains; no paper neighborhood.","A scientific idea in at most 100 target words (200-word hard exclusion threshold).","minimal_test=no; decisive_metric=no; support=no; falsifier=no; controls=no","Rubric-based judge panel; same rubric human subset.","Each idea independently scored 1–10 by three randomly sampled eligible LLM judges on originality/feasibility/clarity; a separate pair-comparison judge grades within-keyword idea similarity for fluency; flexibility is the 30th percentile of composite performance. Generator is excluded from its own panel.","order_reversal=no; position_bias=no; human questionnaire order randomized, but no exact pair reversal.; calibration=PDE expert validation; human–LLM Pearson correlations; ICC; generator excluded from own evaluation.","sample=22 PDE ideas × 6 domain experts.; agreement=yes: ICC(A,k) originality 0.823, clarity 0.782, feasibility 0.453.","Monthly keyword/model refresh; self-evaluation excluded; not a paper-answer-key design.","Divergent-thinking scientific ideation: originality, feasibility, clarity, fluency, and flexibility.","required=no; notes=The introduction calls scientific ideas testable, but neither generator prompt nor critic schema requests a test or a falsifying outcome.","No future-paper answer key, explicit multidimensional judge protocol, ensemble judging, and a bounded human calibration subset.","Keyword-only divergent ideation, not literature-neighborhood-conditioned minimal tests; no required experiment, decisive metric, or supporting/falsifying outcome; no forward/reverse pairwise audit."
"jiang2026_hindsight","HindSight: Evaluating LLM-Generated Research Ideas via Future Impact","2026","E3","Pre-cutoff literature/topic or seed paper; generator restricted to pre-T papers.","Generated problem statement plus proposed method; evaluator matches it to post-T publications.","minimal_test=no; decisive_metric=yes (external evaluator metric); support=no; falsifier=no; controls=no","Future publications and later impact.","200 ideas across 10 topics; SPECTER2 matching to 27,589 post-cutoff papers; impact = 0.6 normalized citations + 0.4 top-venue; compared with repeated pointwise LLM ratings.","order_reversal=no; position_bias=no; calibration=Compares LLM judge to future-impact signal; no human calibration.","sample=none; agreement=no","T=June 2023; generation sees only pre-T literature; post-T June 2023–Dec 2025 ground-truth pool.","Whether ideas anticipate later real research directions and impact.","required=no; notes=The plan says HorizonBench, but exact-title HorizonBench is unrelated personalization. HindSight is the scientifically relevant likely alias.","Evaluates model-generated ideas temporally and avoids relying only on an LLM judge.","Treats realized future publications as answer keys and may reward trajectory/surface alignment; does not require experiment design or falsifying outcomes."
"liu2026hypobench","HypoBench: Towards Systematic and Principled Benchmarking for Hypothesis Generation","2026","E4","A phenomenon/task, labeled observational data, and optionally relevant literature; 7 real tasks and 5 synthetic tasks across 194 datasets.","A bank/list of natural-language hypotheses that explain feature-outcome relationships; task implementations sometimes request paired positive/opposite predictive hypotheses.","minimal_test=no; decisive_metric=no; support=no; falsifier=no; controls=no","Ground-truth synthetic hypotheses and held-out outcome labels; no future-paper answer key.","Held-out hypothesis-based prediction accuracy/F1; synthetic feature-discovery rate × relationship correctness (HDR); GPT-4o 1–5 ratings of novelty/plausibility/clarity for real datasets; OOD and cross-model tests.","order_reversal=no; position_bias=no; calibration=Two humans independently annotate 100 hidden-score pairs; agreement with each other and the model is reported.","sample=100 hypothesis pairs, two annotators, stratified across task categories and score ranges; agreement=Yes: FDR human-human Cohen kappa 0.80; RC weighted kappa 0.86. Model-human 0.71 and 0.64, respectively.","IND/OOD splits by source/domain are reported; synthetic difficulty/counterintuitive variants probe priors; no model-training contamination audit.","Generating interpretable explanations of observed phenomena, explicitly distinguished from literature-driven research ideation.","required=no; notes=Full-text and artifact scan found no falsif/disconfirm/refut/failure-condition/decision-rule/supporting-result requirement. The artifact's positive/opposite hypothesis pairs predict both outcome classes; they are not experiment-contingent observations that would reject a research proposal. `Could this be tested?` is an optional judge consideration under plausibility, hence not a falsifier field. Use 2026 for v2/current citation status but retain original 2025 posting date in BibTeX notes if needed.","A 2026 benchmark with natural-language hypotheses, optional literature grounding, testability language in the plausibility rubric, human-calibrated LLM judging, and no future-paper key.","HypoBench defines a hypothesis as an explanation of observed labeled phenomena and scores it by predictive utility/ground-truth recovery. It asks for hypotheses, not a next-step experiment, decisive metric, or precommitted supporting/falsifying outcomes."
"qiao2026_innoeval","InnoEval: On Research Idea Evaluation as a Knowledge-Grounded, Multi-Perspective Reasoning Problem","2026","E4","Raw idea plus optional timestamp; extraction yields TLDR, motivation, research question, methods, experiment settings, and optional expected results; system retrieves literature/web/code.","Pointwise multi-dimensional review and decision, or groupwise ranking; revision suggestions.","minimal_test=no; decisive_metric=no; support=partial; falsifier=no; controls=no","Conference decision tier, not a future paper.","217 ideas extracted from ICLR/NeurIPS 2025 papers labeled Reject/Poster/Spotlight/Oral; 372 pairwise and 172 groupwise instances. Five randomized reviewer personas each score five dimensions 0–10; report agent predicts decision/ranking.","order_reversal=no; position_bias=no; calibration=Correlation with expert scores and LLM-extracted peer-review scores; decision labels from conferences.","sample=5 experts (3 PhD students, 1 professor, 1 algorithm engineer) score 60 ideas.; agreement=Pearson correlations to mean human scores reported (all ≥0.5); no inter-human coefficient.","Idea timestamp separates pre-knowledge for evaluation from post-knowledge for suggestions.","Knowledge-grounded, multi-perspective idea evaluation aligned with conference outcomes and human dimension scores.","required=no; notes=Post-timestamp papers do not define the decision label but do influence revision advice. Expected results are optional and one-directional, not an explicit falsifier.","Structured research-plan input, multi-dimensional judging, pair/group comparisons, timestamps, heterogeneous evidence, and human alignment study.","Measures prediction of conference outcomes/ratings from retrospectively extracted papers; expected results are optional and no bidirectional decision rule or explicit falsifying outcome is required; no order-reversal audit."
