case_id,source_type,stability,sampling_stability,model_pair,pair_id,source_pair_id,holistic_original,holistic_reverse,structured_original,structured_reverse,score_sum_original,score_sum_reverse,dimension_majority_original,dimension_majority_reverse,structured_model_consistent,score_sum_model_consistent,dimension_majority_model_consistent,confidence_original,confidence_reverse,confidence_consistent,total_aligned_score_change,dimension_margins_json,holistic_structured_disagreement,structured_score_sum_disagreement,large_structured_score_change,high_confidence_disagreement,falsifiability_order_flip,control_failure
t2_formal_001,real_model_pair,order-unstable,order-unstable,DeepSeek-V3.2 vs GPT 5.2,t2_formal_001,smallari_fifth40_022_graph_networks_message_passing_paradigm__v02_fifth40__DeepSeek-V3.2__vs__GPT_5.2,A,A,A,A,A,A,A,A,False,False,False,high,high,True,3,"{""decisive_metric"": {""original"": 1, ""reverse"": 0}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": 1, ""reverse"": 1}}",False,False,False,False,False,False
t2_formal_002,real_model_pair,order-stable,order-stable,DeepSeek-V3.2 vs GLM-5,t2_formal_002,smallari_third40_038_domain_adaptation_source_free_unsupervised_sourc__v02_third40__DeepSeek-V3.2__vs__GLM-5,B,A,B,A,B,A,B,A,True,True,True,high,high,True,1,"{""decisive_metric"": {""original"": 0, ""reverse"": 0}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 1}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": -1, ""reverse"": 1}}",False,False,False,False,False,False
t2_formal_003,real_model_pair,order-unstable,order-unstable,DeepSeek-V3.2 vs GLM-5,t2_formal_003,smallari_next40_031_pruning_language_structured_learns_collaborative__v02_next40__DeepSeek-V3.2__vs__GLM-5,B,B,A,A,A,A,A,A,False,False,False,high,high,True,2,"{""decisive_metric"": {""original"": 0, ""reverse"": 0}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": 1, ""reverse"": 1}}",True,False,False,True,False,False
t2_formal_004,real_model_pair,order-stable,order-stable,Claude-Sonnet-4.6 vs DeepSeek-V3.2,t2_formal_004,smallari_next40_038_transport_optimal_sliced_spherical_comparing__v02_next40__Claude-Sonnet-4.6__vs__DeepSeek-V3.2,B,A,B,A,B,A,B,A,True,True,True,high,high,True,3,"{""decisive_metric"": {""original"": 0, ""reverse"": 1}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 1}, ""minimality_feasibility"": {""original"": -1, ""reverse"": 2}}",False,False,False,False,False,False
t2_formal_005,real_model_pair,order-stable,order-stable,GLM-5 vs GPT 5.2,t2_formal_005,smallari_fourth40_003_quantum_potential_over_classical_entanglement__v02_fourth40__GLM-5__vs__GPT_5.2,A,B,A,B,A,tie,A,tie,True,False,False,high,high,True,3,"{""decisive_metric"": {""original"": 1, ""reverse"": 0}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 1, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": 1, ""reverse"": 0}}",False,True,False,False,False,False
t2_formal_006,real_model_pair,order-stable,order-stable,Claude-Sonnet-4.6 vs GLM-5,t2_formal_006,smallari_fourth40_039_federated_client_clients_such_global__v02_fourth40__Claude-Sonnet-4.6__vs__GLM-5,A,B,A,B,A,B,A,B,True,True,True,high,high,True,1,"{""decisive_metric"": {""original"": 1, ""reverse"": -1}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": 0, ""reverse"": -1}}",False,False,False,False,False,False
t2_formal_007,real_model_pair,order-stable,order-stable,DeepSeek-V3.2 vs GLM-5,t2_formal_007,smallari_fourth40_006_skill_discovery_long_horizon_diverse_skills__v02_fourth40__DeepSeek-V3.2__vs__GLM-5,A,B,A,B,A,B,A,B,True,True,True,high,high,True,0,"{""decisive_metric"": {""original"": 0, ""reverse"": 0}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": 1, ""reverse"": -1}}",False,False,False,False,False,False
t2_formal_008,real_model_pair,order-unstable,order-unstable,DeepSeek-V3.2 vs GPT 5.2,t2_formal_008,smallari_fourth40_026_attention_transformer_sparse_circuit_language__v02_fourth40__DeepSeek-V3.2__vs__GPT_5.2,A,A,A,B,A,B,A,B,True,True,True,high,high,True,0,"{""decisive_metric"": {""original"": 0, ""reverse"": 0}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 0}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": 1, ""reverse"": -1}}",True,False,False,True,False,False
t2_formal_009,real_model_pair,order-stable,order-stable,Claude-Sonnet-4.6 vs GLM-5,t2_formal_009,smallari_expansion40_018_speech_continuation_language_llm_potential__v02_expansion40__Claude-Sonnet-4.6__vs__GLM-5,B,A,B,A,B,A,B,A,True,True,True,high,high,True,4,"{""decisive_metric"": {""original"": 0, ""reverse"": 0}, ""falsifiability"": {""original"": -1, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 1}, ""hypothesis_specificity"": {""original"": -1, ""reverse"": 0}, ""minimality_feasibility"": {""original"": 0, ""reverse"": 1}}",False,False,False,False,True,False
t2_formal_010,real_model_pair,order-stable,order-stable,Claude-Sonnet-4.6 vs GLM-5,t2_formal_010,smallari_third40_016_text_to_video_generation_diffusion_video_modelin__v02_third40__Claude-Sonnet-4.6__vs__GLM-5,B,A,B,A,B,A,B,A,True,True,True,high,high,True,2,"{""decisive_metric"": {""original"": -1, ""reverse"": 0}, ""falsifiability"": {""original"": 0, ""reverse"": 0}, ""grounding"": {""original"": 0, ""reverse"": 1}, ""hypothesis_specificity"": {""original"": 0, ""reverse"": 0}, ""minimality_feasibility"": {""original"": -1, ""reverse"": 1}}",False,False,False,False,False,False
